ID,figure,size,color,rotation_angle,center_x,center_y
137,hexagon,6,#FFA500,39,1,-1
138,circle,15,#FFA500,0,0,-1
139,triangle,10,#FF00FF,99,3,5
140,pentagon,15,#800080,15,0,-1
141,hexagon,15,#FF00FF,18,0,-1
142,circle,6,#0000FF,0,-10,-4
143,triangle,5,#FFFF00,70,5,7
144,pentagon,12,#008000,4,-1,2
145,hexagon,8,#FF00FF,36,-3,6
146,hexagon,7,#FFA500,43,2,5
147,square,10,#000000,50,2,4
148,triangle,8,#0000FF,27,-4,-6
149,circle,12,#0000FF,0,-4,-2
150,pentagon,15,#00FF00,22,-1,0
151,circle,14,#00FF00,0,0,-1
152,circle,12,#008000,0,0,3
153,hexagon,15,#000000,2,0,-1
154,circle,10,#00FFFF,0,-2,-3
155,pentagon,8,#000000,26,1,4
156,triangle,6,#000000,117,8,7
157,hexagon,15,#000000,26,-1,-1
158,triangle,8,#000000,29,-3,5
159,triangle,7,#008000,100,0,3
160,circle,9,#FFFF00,0,3,5
161,circle,11,#00FF00,0,-4,-5
162,pentagon,9,#00FF00,15,2,-3
163,circle,14,#800080,0,-2,1
164,hexagon,13,#FFFF00,31,2,1
165,hexagon,6,#FFA500,23,2,-7
166,circle,5,#000000,0,-4,10
167,square,10,#00FFFF,22,-2,-6
168,circle,11,#00FFFF,0,3,1
169,square,12,#00FFFF,37,0,0
170,circle,7,#008000,0,3,2
171,circle,14,#0000FF,0,0,1
172,hexagon,7,#FFA500,39,8,7
173,circle,11,#800080,0,-1,2
174,circle,5,#800080,0,-11,-10
175,pentagon,15,#FFFF00,63,0,-1
176,triangle,11,#008000,87,1,-2
177,triangle,12,#FFA500,37,3,0
178,hexagon,12,#000000,29,0,-2
179,square,5,#FF00FF,42,-11,8
180,circle,12,#FF0000,0,3,-2
181,hexagon,14,#00FF00,1,-2,0
182,square,11,#FF00FF,36,-4,1
183,circle,7,#800080,0,6,5
184,square,7,#FFA500,0,2,-8
185,circle,6,#008000,0,-1,-4
186,square,13,#FFA500,70,1,1
187,pentagon,6,#0000FF,67,7,-10
188,triangle,13,#FFA500,69,0,-1
189,triangle,6,#800080,103,-3,-4
190,hexagon,6,#FFA500,58,3,6
191,circle,7,#FFA500,0,-5,7
192,circle,9,#FF0000,0,2,3
193,square,14,#00FF00,53,-1,-2
194,pentagon,6,#0000FF,26,3,-5
195,square,7,#008000,23,-9,-8
196,triangle,12,#00FF00,11,-4,0
197,circle,10,#008000,0,-2,3
198,square,11,#00FF00,34,2,2
199,hexagon,11,#00FFFF,49,3,0
200,pentagon,11,#FFFF00,23,0,-5
201,circle,6,#008000,0,-4,0
202,square,7,#008000,61,3,1
203,triangle,7,#FF0000,86,6,-7
204,triangle,9,#FFA500,41,3,3
205,hexagon,6,#00FF00,31,1,7
206,square,5,#0000FF,12,-8,9
207,circle,13,#FFA500,0,2,0
208,hexagon,7,#800080,7,8,-6
209,square,15,#0000FF,0,-1,-1
210,circle,5,#FFA500,0,-9,8
211,circle,11,#FF0000,0,4,1
212,triangle,14,#000000,19,-2,1
213,hexagon,14,#000000,35,-1,-1
214,circle,11,#800080,0,-1,1
215,hexagon,9,#00FF00,7,-2,-6
216,square,13,#FFA500,40,2,0
217,pentagon,8,#FFA500,25,-8,-2
218,circle,7,#FFA500,0,4,-6
219,hexagon,5,#008000,32,-4,6
220,circle,11,#000000,0,-4,0
221,pentagon,11,#800080,31,-3,-5
222,circle,7,#000000,0,-7,-5
223,pentagon,5,#FFFF00,68,3,6
224,circle,12,#FFA500,0,1,3
225,pentagon,5,#0000FF,3,-1,5
226,hexagon,14,#008000,12,1,0
227,pentagon,12,#008000,20,2,3
228,triangle,12,#FFFF00,99,2,-2
229,pentagon,12,#00FFFF,50,0,-2
230,square,13,#FF00FF,58,0,-3
231,square,9,#800080,86,-1,6
232,triangle,13,#0000FF,114,-2,0
233,pentagon,6,#00FFFF,0,7,3
234,hexagon,6,#00FF00,38,-3,-5
235,hexagon,6,#FF0000,31,2,-9
236,pentagon,5,#000000,20,1,4
237,hexagon,10,#FF00FF,36,-1,-4
238,square,15,#00FFFF,58,-1,0
239,triangle,7,#800080,85,0,5
240,pentagon,10,#008000,38,1,-2
241,hexagon,13,#008000,23,1,-3
242,circle,12,#800080,0,-2,-2
243,hexagon,7,#0000FF,18,6,1
244,circle,15,#0000FF,0,-1,0
245,square,14,#FF0000,34,-1,1
246,triangle,13,#00FF00,71,1,0
247,hexagon,11,#00FF00,29,3,2
248,circle,13,#800080,0,-1,-3
249,triangle,11,#0000FF,42,-1,-2
250,square,5,#FF00FF,81,-2,-10
251,triangle,12,#FFFF00,62,-1,1
252,triangle,13,#FF0000,59,-3,0
253,hexagon,11,#00FFFF,23,0,4
254,square,14,#FFFF00,71,0,-2
255,pentagon,11,#FF00FF,14,-2,-3
256,hexagon,14,#800080,51,-2,0
257,triangle,8,#008000,59,-4,2
258,triangle,15,#000000,61,-1,-1
259,pentagon,7,#008000,55,2,-8
260,triangle,10,#FF0000,30,1,-3
261,square,12,#FFA500,4,3,-2
262,hexagon,13,#008000,59,-1,0
263,circle,5,#00FF00,0,7,-5
264,square,14,#000000,43,-2,0
265,triangle,8,#00FFFF,88,-1,-3
266,hexagon,8,#FF00FF,49,2,-3
267,hexagon,14,#00FFFF,47,-1,-1
268,pentagon,8,#00FF00,30,-8,0
269,triangle,11,#0000FF,76,-2,-4
270,hexagon,8,#00FF00,48,2,-1
271,triangle,10,#FFFF00,68,-3,0
272,circle,8,#FF00FF,0,-3,5
273,square,5,#800080,75,10,-4
274,circle,7,#FFFF00,0,5,-6
275,hexagon,15,#FFFF00,3,-1,-1
276,pentagon,9,#00FFFF,69,3,0
277,triangle,8,#00FFFF,57,-1,6
278,circle,11,#FF0000,0,-3,1
279,square,12,#FFA500,37,-2,-3
280,square,12,#008000,67,0,0
281,triangle,14,#000000,0,0,-2
282,hexagon,8,#00FFFF,38,-2,-1
283,triangle,6,#FFFF00,64,9,-1
284,square,8,#000000,15,4,0
285,square,14,#00FF00,49,-1,0
286,circle,7,#008000,0,-2,1
287,square,13,#FF00FF,36,2,-3
288,triangle,10,#FFFF00,68,1,3
289,pentagon,12,#008000,6,-4,1
290,hexagon,13,#800080,8,1,-3
291,pentagon,11,#008000,54,3,-1
292,triangle,9,#FF00FF,77,2,1
293,circle,14,#000000,0,-2,0
294,square,6,#00FF00,89,0,8
295,circle,10,#00FFFF,0,-1,-2
296,hexagon,9,#800080,49,-3,-3
297,hexagon,13,#00FFFF,18,2,-1
298,hexagon,11,#00FF00,10,0,0
299,pentagon,6,#FFA500,7,2,1
300,triangle,12,#00FF00,41,-4,-4
301,pentagon,14,#008000,20,1,-2
302,circle,14,#00FF00,0,-1,1
303,triangle,10,#FF00FF,28,-1,0
304,triangle,8,#FF00FF,90,-4,4
305,square,7,#008000,50,-7,-6
306,triangle,7,#FF00FF,117,-4,2
307,triangle,8,#FFA500,75,5,-4
308,triangle,10,#FF0000,29,-5,-1
309,triangle,5,#008000,74,-4,-10
310,pentagon,11,#00FFFF,1,4,1
311,triangle,5,#800080,6,-5,10
312,triangle,5,#FFFF00,98,2,-11
313,hexagon,15,#FF00FF,23,-1,0
314,hexagon,5,#000000,41,-10,7
315,pentagon,15,#008000,56,0,0
316,circle,12,#FF00FF,0,3,-4
317,square,6,#FFFF00,22,-10,-3
318,circle,10,#0000FF,0,-3,3
319,triangle,5,#000000,77,8,10
320,circle,8,#FF00FF,0,2,6
321,pentagon,8,#FFFF00,3,6,7
322,pentagon,15,#800080,27,0,-1
323,hexagon,9,#00FFFF,36,-1,0
324,circle,5,#FF00FF,0,1,-2
325,circle,13,#000000,0,0,-3
326,circle,7,#FF00FF,0,-8,7
327,square,11,#FFFF00,16,0,-4
328,circle,10,#FFA500,0,-3,1
329,pentagon,8,#0000FF,1,-2,-5
330,triangle,5,#800080,27,3,0
331,square,11,#000000,43,3,0
332,hexagon,7,#FFFF00,57,5,4
333,triangle,14,#00FFFF,59,1,-1
334,pentagon,13,#008000,42,2,2
335,triangle,8,#800080,84,-2,1
336,hexagon,10,#FFFF00,56,1,0
337,square,14,#800080,51,-2,0
338,triangle,9,#FF00FF,32,5,-5
339,circle,14,#800080,0,0,-2
340,pentagon,8,#FF0000,59,-7,5
341,hexagon,13,#FFFF00,38,-1,1
342,hexagon,5,#008000,8,7,0
343,pentagon,11,#800080,36,0,-5
344,triangle,8,#00FFFF,118,2,3
345,hexagon,7,#FF0000,59,3,6
346,pentagon,7,#FFFF00,56,8,-5
347,triangle,8,#000000,87,6,6
348,circle,11,#008000,0,-1,-3
349,pentagon,7,#FF00FF,66,-2,4
350,circle,5,#FF00FF,0,-1,-1
351,pentagon,5,#FFFF00,51,-8,9
352,pentagon,10,#000000,20,-5,-6
353,pentagon,11,#00FF00,22,-3,1
354,triangle,6,#0000FF,42,9,6
355,square,12,#FF00FF,85,-3,1
356,square,7,#FFFF00,23,5,-6
357,hexagon,6,#0000FF,6,4,-4
358,circle,11,#0000FF,0,-3,-4
359,hexagon,15,#008000,58,-1,-1
360,triangle,12,#800080,62,0,-2
361,pentagon,13,#FF0000,15,-2,1
362,square,6,#800080,34,-7,-1
363,pentagon,15,#FF0000,40,-1,-1
364,square,13,#0000FF,2,-1,2
365,triangle,7,#00FFFF,65,3,-9
366,circle,10,#FF00FF,0,-5,4
367,circle,5,#FF00FF,0,-1,1
368,hexagon,5,#00FFFF,38,-7,-3
369,circle,5,#FF00FF,0,10,10
370,triangle,14,#FF0000,77,-2,-1
371,pentagon,7,#FF00FF,39,-8,-5
372,triangle,12,#00FF00,5,-2,-1
373,hexagon,11,#008000,15,1,-1
374,pentagon,11,#FFFF00,30,0,-3
375,triangle,9,#FFA500,3,0,5
376,circle,5,#FFA500,0,6,-1
377,hexagon,15,#FFA500,12,0,-1
378,hexagon,7,#FFA500,20,2,-6
379,triangle,15,#00FFFF,59,0,-1
380,hexagon,8,#FF0000,42,-5,-1
381,triangle,8,#FFFF00,17,2,3
382,pentagon,14,#FF00FF,9,-1,-2
383,square,12,#FFFF00,68,-1,3
384,square,12,#0000FF,56,1,-2
385,pentagon,8,#FFFF00,47,-8,1
386,triangle,7,#FF0000,19,-2,-5
387,hexagon,11,#FFA500,30,-3,-2
388,triangle,15,#000000,25,-1,0
389,hexagon,10,#000000,40,0,-1
390,triangle,8,#008000,50,6,-6
391,pentagon,5,#000000,68,5,-4
392,square,6,#FFFF00,22,-9,-4
393,triangle,15,#FFA500,101,-1,-1
394,circle,9,#FFA500,0,-3,-6
395,triangle,12,#FF00FF,72,2,-2
396,triangle,7,#008000,86,5,-8
397,triangle,9,#FFA500,65,-2,0
398,pentagon,15,#800080,1,-1,0
399,circle,7,#0000FF,0,1,5
400,hexagon,8,#00FFFF,9,-4,-8
401,circle,9,#FF0000,0,2,-1
402,triangle,13,#800080,61,2,-1
403,triangle,12,#FF0000,45,-4,-4
404,hexagon,15,#00FFFF,57,-1,0
405,hexagon,10,#FFFF00,48,-4,-1
406,hexagon,6,#000000,42,0,-5
407,square,7,#800080,3,3,-5
408,triangle,6,#FFFF00,118,2,2
409,hexagon,15,#800080,12,-1,-1
410,triangle,14,#FFA500,1,1,1
411,hexagon,10,#008000,29,-4,0
412,triangle,7,#0000FF,82,6,3
413,hexagon,9,#FFA500,33,1,1
414,circle,8,#FFA500,0,5,-2
415,hexagon,8,#FFFF00,45,2,1
416,square,10,#800080,77,2,-4
417,triangle,15,#000000,111,-1,0
418,square,12,#FFFF00,60,0,3
419,square,8,#00FF00,75,4,5
420,square,11,#800080,39,3,-2
421,pentagon,7,#FF00FF,55,-9,8
422,hexagon,5,#0000FF,25,9,1
423,pentagon,8,#FF0000,31,-1,2
424,circle,8,#FFFF00,0,2,-7
425,circle,6,#FF00FF,0,-1,-3
426,hexagon,12,#00FFFF,55,1,-4
427,pentagon,13,#FFFF00,25,0,-1
428,circle,9,#FFA500,0,5,-4
429,hexagon,8,#FF0000,31,1,-8
430,pentagon,12,#800080,54,2,-1
431,triangle,5,#00FFFF,32,9,10
432,pentagon,8,#FF00FF,61,-2,-7
433,hexagon,15,#FFFF00,16,-1,0
434,square,6,#FF0000,41,9,-9
435,pentagon,11,#FF0000,1,-5,-1
436,square,15,#FF00FF,3,-1,-1
437,pentagon,5,#008000,44,8,-8
438,hexagon,11,#008000,37,-4,-5
439,hexagon,13,#000000,57,1,1
440,hexagon,15,#FFFF00,48,0,-1
441,pentagon,10,#FF0000,66,-5,1
442,square,14,#FFA500,44,-1,0
443,pentagon,5,#00FF00,7,6,-1
444,square,5,#00FF00,22,-3,-11
445,square,11,#00FFFF,55,4,1
446,triangle,7,#FFFF00,14,-6,-4
447,pentagon,9,#FFFF00,67,-7,3
448,pentagon,7,#FF0000,1,3,0
449,hexagon,9,#FF00FF,21,-6,-7
450,pentagon,13,#0000FF,10,1,-2
451,hexagon,15,#FFFF00,2,-1,-1
452,square,15,#00FF00,32,0,0
453,square,6,#FF00FF,28,2,9
454,circle,12,#00FFFF,0,0,1
455,square,7,#FF0000,53,-6,2
456,square,10,#00FF00,23,-1,-6
457,hexagon,15,#FFA500,17,0,0
458,hexagon,5,#00FF00,20,-11,7
459,circle,5,#FFA500,0,-1,-2
460,square,10,#008000,25,1,-4
461,hexagon,5,#FF00FF,37,9,6
462,circle,15,#FF00FF,0,0,0
463,pentagon,7,#008000,16,-6,-9
464,hexagon,7,#FFFF00,16,8,-2
465,hexagon,10,#0000FF,46,1,5
466,hexagon,9,#008000,27,2,4
467,circle,15,#008000,0,0,-1
468,square,15,#FFA500,12,0,-1
469,circle,13,#FFFF00,0,2,-1
470,triangle,12,#00FFFF,75,2,-1
471,circle,15,#008000,0,-1,-1
472,pentagon,15,#FF0000,23,-1,-1
473,pentagon,9,#0000FF,53,5,-4
474,square,7,#000000,3,4,-6
475,square,12,#FF0000,54,0,2
476,hexagon,9,#800080,14,-7,-1
477,circle,15,#00FFFF,0,0,0
478,square,9,#FF0000,23,-6,2
479,circle,9,#00FF00,0,-2,-6
480,pentagon,10,#008000,52,-4,-5
481,square,12,#0000FF,60,2,-1
482,pentagon,8,#00FF00,69,-6,-6
483,pentagon,5,#0000FF,52,-10,7
484,hexagon,14,#00FFFF,15,1,-2
485,square,15,#0000FF,60,-1,0
486,pentagon,15,#00FF00,2,0,0
487,hexagon,7,#FF00FF,21,-1,-1
488,hexagon,11,#800080,23,-5,-4
489,triangle,5,#FFFF00,47,-8,-11
490,pentagon,15,#008000,34,0,-1
491,triangle,7,#FFFF00,41,-8,-5
492,pentagon,6,#0000FF,58,8,2
493,triangle,15,#00FFFF,118,0,-1
494,pentagon,14,#00FFFF,6,-2,1
495,square,9,#000000,9,3,1
496,square,10,#00FF00,14,2,-5
497,triangle,11,#00FFFF,117,-5,-3
498,square,8,#FF0000,16,-4,-7
499,circle,6,#008000,0,-2,-7
500,square,9,#FFA500,59,1,1
501,square,7,#0000FF,14,5,5
502,circle,9,#000000,0,4,3
503,square,5,#00FFFF,33,8,-11
504,square,15,#00FF00,88,-1,0
505,hexagon,6,#FFFF00,31,2,3
506,triangle,9,#000000,10,5,-3
507,circle,8,#008000,0,-4,-3
508,square,11,#FF0000,31,-5,-2
509,triangle,8,#FFA500,52,-3,7
510,circle,15,#800080,0,-1,-1
511,square,5,#FFFF00,83,7,0
512,pentagon,7,#00FFFF,9,-7,1
513,triangle,12,#FF0000,46,2,-1
514,triangle,9,#FFA500,93,-5,-3
515,triangle,15,#FF0000,3,-1,0
516,triangle,10,#000000,22,-6,4
517,circle,14,#FF0000,0,0,-1
518,circle,14,#800080,0,-2,-2
519,triangle,5,#FF0000,0,-10,-9
520,circle,13,#FF0000,0,2,1
521,pentagon,15,#00FFFF,0,0,-1
522,hexagon,11,#0000FF,32,1,-3
523,circle,13,#FFA500,0,2,-3
524,triangle,10,#FFFF00,81,3,4
525,triangle,11,#800080,14,0,-5
526,circle,6,#FFFF00,0,3,1
527,circle,6,#00FFFF,0,4,-5
528,pentagon,7,#FFFF00,26,6,-5
529,pentagon,11,#000000,11,4,0
530,pentagon,9,#008000,56,-1,-6
531,triangle,8,#008000,100,-6,-5
532,square,10,#FFA500,14,-5,-5
533,hexagon,12,#FFA500,23,-3,3
534,pentagon,7,#FFA500,63,4,-5
535,pentagon,6,#FF00FF,49,-3,2
536,square,14,#FF00FF,49,0,-1
537,hexagon,11,#FFFF00,50,-4,3
538,circle,13,#FFA500,0,-2,-1
539,triangle,13,#FFA500,43,1,2
540,circle,8,#00FF00,0,5,1
541,triangle,6,#FFA500,44,-4,-4
542,pentagon,5,#FFFF00,55,8,-9
543,triangle,15,#0000FF,19,-1,-1
544,pentagon,14,#FFFF00,27,0,0
545,hexagon,10,#00FFFF,23,-5,5
546,circle,7,#FF0000,0,4,-5
547,triangle,10,#008000,17,0,-6
548,hexagon,6,#008000,58,5,-8
549,circle,6,#00FFFF,0,-2,-2
550,circle,5,#FFFF00,0,4,-1
551,pentagon,8,#00FF00,21,3,-4
552,circle,8,#000000,0,-8,-6
553,circle,10,#00FF00,0,0,-4
554,triangle,12,#00FFFF,78,-3,-3
555,circle,13,#FFA500,0,2,-3
556,hexagon,7,#800080,20,-2,3
557,hexagon,13,#00FF00,1,-3,0
558,hexagon,5,#FF00FF,48,0,8
559,triangle,6,#FFA500,67,-10,8
560,pentagon,10,#0000FF,4,-4,1
561,hexagon,9,#FFA500,13,6,-1
562,circle,8,#000000,0,-2,5
563,triangle,7,#0000FF,41,3,0
564,circle,6,#FFFF00,0,-10,-10
565,hexagon,14,#000000,6,1,0
566,square,9,#0000FF,53,1,1
567,square,15,#00FFFF,87,-1,0
568,square,13,#0000FF,46,0,-3
569,circle,11,#0000FF,0,3,-5
570,pentagon,11,#FFA500,31,-4,-1
571,triangle,13,#FF0000,56,2,0
572,triangle,10,#000000,114,5,4
573,hexagon,6,#FFA500,7,8,0
574,square,14,#00FFFF,21,-2,-1
575,circle,14,#008000,0,1,-2
576,hexagon,10,#FF00FF,0,-3,1
577,pentagon,9,#00FF00,51,-2,-2
578,hexagon,13,#00FF00,20,-1,-3
579,circle,9,#00FFFF,0,-1,0
580,square,6,#0000FF,5,-1,5
581,pentagon,10,#FF0000,43,-4,5
582,pentagon,13,#800080,22,0,2
583,circle,10,#000000,0,-5,0
584,square,9,#FF00FF,12,5,-6
585,triangle,6,#800080,75,2,-9
586,triangle,13,#000000,109,1,-2
587,square,8,#0000FF,39,-6,-1
588,hexagon,10,#00FF00,24,3,-4
589,hexagon,13,#008000,34,-2,0
590,hexagon,7,#FFFF00,51,-9,-2
591,pentagon,11,#00FFFF,37,3,-5
592,circle,10,#0000FF,0,-3,4
593,triangle,10,#0000FF,39,-5,-6
594,circle,6,#FFFF00,0,8,3
595,circle,5,#000000,0,-9,3
596,pentagon,5,#0000FF,29,0,-4
597,triangle,14,#008000,89,-1,0
598,square,8,#FF0000,84,-3,7
599,triangle,6,#FF00FF,51,-2,-6
600,pentagon,11,#00FF00,67,-2,-4
601,hexagon,8,#FFA500,22,-4,-1
602,circle,8,#FFA500,0,3,-4
603,square,13,#FFA500,71,0,-3
604,hexagon,6,#0000FF,37,-6,7
605,circle,14,#FF00FF,0,0,1
606,circle,10,#00FF00,0,-4,4
607,pentagon,10,#0000FF,29,0,2
608,pentagon,6,#00FF00,56,-6,0
609,hexagon,12,#00FF00,17,0,-2
610,triangle,12,#00FFFF,103,-3,-4
611,circle,11,#008000,0,2,-3
612,pentagon,11,#FFFF00,39,-4,-3
613,triangle,11,#008000,74,-5,-5
614,square,13,#0000FF,74,0,-1
615,circle,15,#FFA500,0,0,0
616,hexagon,12,#800080,32,2,-1
617,triangle,10,#FFA500,42,-6,-3
618,triangle,12,#FF0000,74,-3,0
619,hexagon,9,#FF00FF,13,4,-3
620,triangle,8,#800080,88,-2,5
621,square,6,#FF00FF,61,7,2
622,square,13,#FF00FF,11,1,1
623,hexagon,14,#FF0000,32,-2,-1
624,pentagon,7,#FFA500,5,-7,4
625,pentagon,7,#00FFFF,1,-9,-9
626,square,5,#800080,38,6,2
627,hexagon,9,#000000,4,5,5
628,hexagon,5,#000000,10,3,-10
629,square,15,#000000,67,-1,0
630,pentagon,7,#FF0000,54,3,1
631,square,14,#00FFFF,59,-2,-2
632,hexagon,6,#FFFF00,39,1,-1
633,hexagon,8,#FFA500,21,6,7
634,square,7,#00FF00,66,4,8
635,hexagon,11,#FF0000,43,1,-1
636,square,7,#FF00FF,55,-5,-8
637,square,14,#FF00FF,84,-2,0
638,circle,11,#00FFFF,0,-4,-5
639,circle,7,#FF00FF,0,-8,4
640,circle,14,#FF00FF,0,-1,-2
641,triangle,13,#FFA500,95,2,0
642,pentagon,5,#FFFF00,15,6,-6
643,pentagon,10,#FF0000,26,0,-3
644,pentagon,14,#800080,2,1,0
645,circle,10,#800080,0,0,4
646,hexagon,6,#FF0000,13,-3,-10
647,hexagon,12,#FF00FF,33,-2,-4
648,circle,5,#0000FF,0,-9,-10
649,pentagon,14,#FF00FF,71,-1,1
650,hexagon,13,#FFFF00,27,2,0
651,circle,15,#00FFFF,0,0,0
652,pentagon,8,#FFA500,29,1,0
653,triangle,9,#FF0000,102,1,-3
654,hexagon,11,#FF0000,15,3,0
655,square,9,#00FFFF,66,6,-3
656,triangle,6,#FF00FF,39,-10,8
657,triangle,12,#00FFFF,73,-2,-1
658,square,7,#FFFF00,76,-3,1
659,pentagon,9,#008000,15,-6,1
660,square,11,#0000FF,7,-2,0
661,hexagon,6,#00FFFF,23,-6,4
662,pentagon,14,#008000,53,1,-2
663,square,11,#0000FF,1,-3,0
664,square,9,#00FF00,55,3,-1
665,hexagon,14,#00FF00,57,-2,1
666,square,13,#FFFF00,68,-2,1
667,triangle,12,#008000,36,1,-3
668,hexagon,9,#FFA500,7,-2,4
669,pentagon,5,#800080,63,3,-11
670,triangle,15,#0000FF,78,0,0
671,hexagon,9,#800080,10,-6,-3
672,circle,15,#FFFF00,0,0,-1
673,square,7,#FF0000,28,6,0
674,square,7,#0000FF,57,8,-2
